id;name;sport;category;description;country;city;logo;featured;
babolat;Babolat;Tennis, Badminton;Raquettes;Marque française spécialisée dans le tennis et le badminton, célèbre pour ses gammes Pure Drive, Aero et Strike.;France;Lyon;logos/babolat.png;X;
anybuddy;Anybuddy;Tennis;Logiciel;Application pour réserver un court sans être membre, via clubs partenaires en France.;France;Lille;logos/anybuddy.png;;
quiet-please;Quiet Please;Tennis;Équipements;Marque tennis/street exclusive Sport‑Point.;Allemagne;;logos/quietplease.png;X;
all-in-country-grasse;All In Country Grasse;Padel;Club de Padel;11 terrains (4 indoor / 7 outdoor) - 1063 licenciés.;France;Grasse;logos/allinacademy.png;;
padelcourt;Padelcourt®;Padel;Constructeur terrain;Fabrication française de terrains de padel premium.;France;Chambéry;logos/padelcourt.png;;
playtomic;Playtomic;Padel, Tennis;Logiciel;Marketplace de réservation, leader mondial dans l'industrie du padel et du tennis.;;;logos/playtomic.png;;
blackcrown;BlackCrown;Padel;Raquettes;Marque espagnole offrant des raquettes de padel équilibrées, appréciées pour leur confort et leur maniabilité.;Espagne;Barcelone;logos/blackcrown.png;X;
butterfly;Butterfly (Tamasu);Tennis de Table;Raquettes;Leader mondial dans les bois et revêtements de tennis de table.;Japon;Tokyo;logos/butterfly.png;;
li-ning;Li-Ning;Badminton;Équipements;Grande marque chinoise, très innovante.;Chine;Pékin;logos/lining.jpg;;
Forza;Forza;Badminton;Raquettes;Leader scandinave depuis 1990.;Danemark;Lyngby;logos/fzforza.png;;
Yes Yes Padel;Yes Yes Padel;Padel;Constructeur terrain;Déploiement d'un modèle local et coopératif de terrain de Padel accessibles, toute l’année en s'appuyant sur les clubs de tennis et en partenariat avec les collectivité locales ;France;Marseille;logos/yesyespadel.png;;
Kuikma;Kuikma;Padel;Équipements;Kuikma est la marque spécialisée Padel chez Décathlon. Elle est composé d'une gamme de raquettes de Padel mais également d'une multitude d'équipements Padel.;France;Villeneuve-d'Ascq;logos/kuikma.png;;
Joma;Joma;Padel;Équipements;Joma Sport est une marque espagnole de vêtement de sport créée en 1965, la marque JOMA est spécialisée dans le développement et la fabrication de chaussures de sport ainsi que des équipements et d’accessoires de sport. La marque Joma est présente avec un réseau de distribution de plus de 107 pays dans le monde.;Espagne;Tolède;logos/joma.png;X;
