id;title;date;start;end;type;sport;location;intervenants;descriptif;featured;B2B;;
S1;Conférence – Reconversion;2027-04-16;14:30;15:30;Conférence;Tennis;Salle de conférence;"Paul-Henri Mathieu; Modératrice : Claire Bernard";Échanges sur la transition après carrière : formation, entrepreneuriat, coaching.;;x;;
S2;Initiation Pickleball (débutants);2027-04-16;17:00;18:00;Initiation;Pickleball;Terrain de Pickleball;Staff Pickleball Paris;Séance découverte encadrée, prêt de matériel et règles de base.;;;;
S3;Démo bois & revêtements;2027-04-17;10:30;11:15;Démo;Tennis de Table;Zone Tennis de Table;Expert Butterfly;Présentation des nouveautés bois/revêtements et test live.;;;;
S4;Initiation Badminton (tous niveaux);2027-04-17;15:00;16:00;Initiation;Badminton;Court B;Club local + animateurs FFBA;Atelier gestes de base, services et mini-matchs encadrés.;x;;;
S5;Animation Babolat – test raquettes;2027-04-18;11:00;12:00;Animation marque;Padel;Piste 1 Padel;Team Babolat;Test des dernières raquettes et conseils réglages cordage.;;;;
S6;Exhibition Padel (match de gala);2027-04-18;16:00;17:00;Exhibition;Padel;Piste 2 Padel;Joueurs invités (TBA);Show match avec commentaires et échanges avec le public.;;;;
S7;Conférence - Le pickleball du future;2027-04-16;12:00;13:00;Conférence;Pickleball;Salle de conférence;Caroline Dhenin;Echanger sur le devenir du Pickleball en France;;;;
S8;Présentation BlackCrown;2027-04-17;13:00;14:00;Animation marque;Padel;Piste 1 Padel;Animateurs BlackCrown;Présentation de la nouvelle gamme de raquettes de Padel BlackCrown;;;;
S9;Ouvrir un centre de padel, badminton ou pickleball : pièges à éviter et leviers de réussite;2027-04-16;13:00;14:00;Conférence;Padel, Badminton, Pickleball;Salle de conférence;Animateurs BlackCrown;Retour d’expérience d’opérateurs privés et publics, focus sur l’immobilier, les autorisations, le financement, le modèle économique.;;x;;
S10;Le futur du retail spécialisé : comment vendre des équipements de raquettes en 2027 ?;2027-04-16;10:00;11:00;Conférence;Multisport;Salle de conférence;Dir. retail Decathlon, Fondateur Tennis Pro, Expert e-commerce;Le paysage du retail sportif évolue rapidement, porté par les mutations du commerce digital, les nouveaux modes de consommation et les attentes des pratiquants. Cette conférence dressera un état des lieux des modèles en mutation : explosion du Direct-to-Consumer, essor des marketplaces, montée en puissance du phygital, mais aussi enjeux liés à l’économie circulaire et à la seconde main. Comment les marques et distributeurs spécialisés peuvent-ils repenser leur stratégie retail ? Quels rôles joueront les clubs, les enseignes historiques et les plateformes digitales ? Une table-ronde avec distributeurs, experts du e-commerce et marques.;;x;;
S11;Le futur des clubs de sports de raquettes : modèles économiques croisés & diversification des services;2027-04-16;11:30;12:30;Table ronde;Multisport;Salle de conférence;Dir. club multi-activités, Consultant, Architecte;Le modèle économique traditionnel des clubs est en pleine mutation. Pour garantir leur pérennité, les gestionnaires cherchent à diversifier leurs sources de revenus et à créer des lieux de vie. Cette conférence explorera les concepts de clubs hybrides mêlant sport, loisirs, socialisation et services annexes : espaces bien-être, zones de coworking, restauration, animations festives… Des témoignages d’opérateurs et d’investisseurs viendront nourrir la réflexion.;;x;;
S12;Construire des infrastructures de raquettes indoor/outdoor durables et rentables;2027-04-16;14:00;15:00;Conférence;Multisport;Salle de conférence;Constructeurs, bureau d’étude, collectivité;Face aux enjeux écologiques et économiques, construire des installations sportives durables devient une priorité. Comment allier performance énergétique, modularité, attractivité architecturale et maîtrise des coûts ? Cette session donnera la parole à des architectes spécialisés, des maîtres d’ouvrage et des gestionnaires de structures innovantes. L’objectif : inspirer les porteurs de projets dans la conception ou la rénovation de leurs équipements.;;x;;
S13;Marketing des sports de raquettes : comment parler à la nouvelle génération ?;2027-04-16;15:30;16:30;Conférence;Multisport;Salle de conférence;Responsable Com FFT, influenceur, expert gamification;Pour séduire les nouvelles générations, les acteurs des sports de raquettes doivent repenser leur communication. Quels sont les nouveaux codes ? Quelles plateformes privilégier ? Faut-il gamifier la pratique ? Quels rôles pour les influenceurs ou les ambassadeurs ? Cette conférence réunira experts en communication, créateurs de contenu et community managers de marques pour dresser un panorama des stratégies efficaces à l’ère du numérique.;;x;;
S14;Femmes et sports de raquettes : construire des offres et des infrastructures plus inclusives;2027-04-16;17:00;18:00;Table ronde;Multisport;Salle de conférence;Dirigeantes clubs, référente égalité, marque engagée;Les femmes représentent une part croissante des pratiquants… mais les offres et les structures leur sont-elles vraiment adaptées ? Cette table-ronde abordera les leviers concrets pour améliorer l’accès et la fidélisation des pratiquantes : horaires spécifiques, matériel adapté, communication inclusive, événements dédiés, rôle des dirigeantes. Avec des retours d’expériences de clubs, fédérations et marques engagées.;;x;;
S15;Data, IA et performance dans les sports de raquettes : quels outils pour les clubs et les coaches ?;2027-04-17;10:00;11:00;Conférence;Multisport;Salle de conférence;Start-up SportTech, coach, FFT Lab;Les nouvelles technologies s’invitent dans les clubs pour accompagner les pratiquants dans leur progression. Analyse vidéo, tracking de balle, tableaux de bord personnalisés, IA pour planifier les entraînements… Quels outils sont déjà disponibles et accessibles ? Quels bénéfices pour les coaches et les clubs ? Démonstrations et témoignages de start-ups sport tech et de structures déjà équipées.;;x;;
S16;Ouvrir ou exploiter un centre de padel en 2027 : du permis à la rentabilité;2027-04-17;11:30;12:30;Conférence;Padel;Salle de conférence;Exploitants, avocat urbanisme, fournisseurs;Le padel attire toujours plus d’entrepreneurs… mais ouvrir un centre viable ne s’improvise pas. Cette session fera le tour complet des étapes clés : choix du foncier, dépôt de permis, sélection des fournisseurs, budget d’installation, politique tarifaire, stratégie d’animation et de fidélisation. Avec des conseils d’experts et le retour d’expérience d’exploitants de centres performants.;;x;;
S17;Positionner sa marque de padel sur un marché en surchauffe : branding, différenciation, innovation;2027-04-17;14:00;15:00;Table ronde;Padel;Salle de conférence;Marketeurs, designers, distributeurs;Face à la multiplication des marques, comment émerger et durer ? Cette conférence s’adresse aux marques d’équipements et accessoires padel, aux distributeurs et aux marques blanches. Quels leviers de différenciation utiliser ? Quelles innovations technologiques ou marketing déployer ? Sponsoring, partenariats, influence : quelle stratégie adopter pour asseoir sa crédibilité sur le long terme ?;;x;;
